Roteiro: 001-001
Referencia: 2010.04
Arquivo gerado em 07/04/2010 as 14:59:08
Total: 334
Processadas: 334
Emitidas: 7
Retidas: 0
Contas restantes: 0
Data da Leitura;Agente;CDC;Situacao;Leitura Real;Leitura Atribuida;Ocorrencias;Consumo Medido;Consumo Atribuido;Consumo Rateado;Emissoes;Forma de Entrega
4/7/10 2:56:47 PM;26;1628;C;;9700;2;;186;;0;
4/7/10 8:36:20 AM;26;1681;F;82;;71;11;;;1;1
4/7/10 8:31:57 AM;26;1682;F;213;;71;22;;;1;1
4/7/10 8:29:03 AM;26;1683;F;227;;71;6;;;1;4
4/7/10 8:20:56 AM;26;2843;F;1016;;71;25;;;1;4
4/7/10 8:24:50 AM;26;2845;F;415;;71;12;;;1;6
4/7/10 8:26:31 AM;26;2846;F;207;;71;23;;;0;
4/7/10 8:27:24 AM;26;2847;F;1478;;71;41;;;1;1
4/7/10 8:32:55 AM;26;66478;F;1359;;71;8;;;1;1
4/7/10 8:52:22 AM;26;93307;C;16720;;71;1844;;;0;
4/7/10 9:36:50 AM;26;93308;C;15887;;71;1854;;;0;
4/7/10 10:51:14 AM;26;93510;C;;410;5;;85;;0;
4/7/10 9:34:25 AM;26;94165;C;238;;71;2;;;0;
4/7/10 9:34:12 AM;26;94166;C;459;;71;7;;;0;
4/7/10 9:34:04 AM;26;94167;C;670;;71;16;;;0;
4/7/10 9:33:45 AM;26;94168;C;791;;71;25;;;0;
4/7/10 9:33:55 AM;26;94169;C;549;;71;8;;;0;
4/7/10 9:33:29 AM;26;94170;C;509;;71;10;;;0;
4/7/10 9:33:20 AM;26;94171;C;530;;71;12;;;0;
4/7/10 9:33:10 AM;26;94172;C;502;;71;6;;;0;
4/7/10 9:32:51 AM;26;94173;C;559;;71;9;;;0;
4/7/10 9:33:00 AM;26;94174;C;585;;71;13;;;0;
4/7/10 9:18:30 AM;26;94175;C;443;;71;7;;;0;
4/7/10 9:31:56 AM;26;94176;C;656;;71;12;;;0;
4/7/10 9:18:22 AM;26;94177;C;458;;71;11;;;0;
4/7/10 9:31:47 AM;26;94178;C;378;;71;8;;;0;
4/7/10 9:18:11 AM;26;94179;C;807;;71;21;;;0;
4/7/10 9:31:38 AM;26;94180;C;1102;;71;30;;;0;
4/7/10 9:18:42 AM;26;94181;C;668;;71;16;;;0;
4/7/10 9:18:50 AM;26;94182;C;532;;71;9;;;0;
4/7/10 9:17:33 AM;26;94183;C;614;;71;11;;;0;
4/7/10 9:32:06 AM;26;94184;C;529;;71;13;;;0;
4/7/10 9:17:23 AM;26;94185;C;507;;71;16;;;0;
4/7/10 9:32:17 AM;26;94186;C;622;;71;7;;;0;
4/7/10 9:17:14 AM;26;94187;C;837;;71;23;;;0;
4/7/10 9:17:42 AM;26;94188;C;793;;71;23;;;0;
4/7/10 9:30:55 AM;26;94189;C;602;;71;12;;;0;
4/7/10 9:17:51 AM;26;94190;C;599;;71;16;;;0;
4/7/10 9:30:45 AM;26;94191;C;736;;71;16;;;0;
4/7/10 9:30:36 AM;26;94192;C;859;;71;23;;;0;
4/7/10 9:31:03 AM;26;94193;C;332;;71;9;;;0;
4/7/10 9:31:16 AM;26;94194;C;296;;71;11;;;0;
4/7/10 9:20:58 AM;26;94201;C;880;;71;19;;;0;
4/7/10 9:20:47 AM;26;94202;C;759;;71;9;;;0;
4/7/10 9:20:36 AM;26;94203;C;373;;71;7;;;0;
4/7/10 9:20:10 AM;26;94204;C;501;;71;6;;;0;
4/7/10 9:20:19 AM;26;94205;C;240;;71;4;;;0;
4/7/10 9:19:45 AM;26;94206;C;665;;71;9;;;0;
4/7/10 9:19:31 AM;26;94207;C;748;;71;14;;;0;
4/7/10 9:19:23 AM;26;94208;C;516;;71;7;;;0;
4/7/10 9:19:01 AM;26;94209;C;704;;71;12;;;0;
4/7/10 9:19:12 AM;26;94210;C;419;;71;11;;;0;
4/7/10 9:30:26 AM;26;94214;C;525;;71;13;;;0;
4/7/10 9:30:17 AM;26;94215;C;673;;71;5;;;0;
4/7/10 9:30:08 AM;26;94216;C;630;;71;15;;;0;
4/7/10 9:29:43 AM;26;94217;C;574;;71;10;;;0;
4/7/10 9:30:00 AM;26;94218;C;477;;71;3;;;0;
4/7/10 9:29:16 AM;26;94219;C;508;;71;12;;;0;
4/7/10 9:29:03 AM;26;94220;C;337;;71;6;;;0;
4/7/10 9:28:53 AM;26;94221;C;456;;71;11;;;0;
4/7/10 9:28:31 AM;26;94222;C;236;;71;4;;;0;
4/7/10 9:28:40 AM;26;94223;C;901;;71;26;;;0;
4/7/10 9:23:18 AM;26;94224;C;442;;71;10;;;0;
4/7/10 9:23:09 AM;26;94225;C;354;;71;7;;;0;
4/7/10 9:23:00 AM;26;94226;C;467;;71;12;;;0;
4/7/10 9:23:30 AM;26;94227;C;756;;71;22;;;0;
4/7/10 9:23:52 AM;26;94228;C;638;;71;14;;;0;
4/7/10 9:21:37 AM;26;94229;C;704;;71;18;;;0;
4/7/10 9:21:27 AM;26;94230;C;445;;71;7;;;0;
4/7/10 9:21:19 AM;26;94231;C;480;;71;12;;;0;
4/7/10 9:21:50 AM;26;94232;C;580;;71;17;;;0;
4/7/10 9:22:40 AM;26;94233;C;378;;71;8;;;0;
4/7/10 9:28:01 AM;26;94237;C;483;;71;7;;;0;
4/7/10 9:27:48 AM;26;94238;C;864;;71;21;;;0;
4/7/10 9:27:36 AM;26;94239;C;438;;71;15;;;0;
4/7/10 9:28:10 AM;26;94240;C;734;;71;16;;;0;
4/7/10 9:28:18 AM;26;94241;C;434;;71;4;;;0;
4/7/10 9:26:52 AM;26;94243;C;518;;71;10;;;0;
4/7/10 9:26:43 AM;26;94244;C;599;;71;13;;;0;
4/7/10 9:26:34 AM;26;94245;C;730;;71;17;;;0;
4/7/10 9:27:01 AM;26;94246;C;536;;71;17;;;0;
4/7/10 9:27:10 AM;26;94247;C;1026;;71;12;;;0;
4/7/10 9:26:03 AM;26;94248;C;719;;71;22;;;0;
4/7/10 9:25:47 AM;26;94249;C;630;;71;14;;;0;
4/7/10 9:25:38 AM;26;94252;C;623;;71;12;;;0;
4/7/10 9:25:21 AM;26;94253;C;504;;71;11;;;0;
4/7/10 9:25:30 AM;26;94254;C;605;;71;13;;;0;
4/7/10 9:25:03 AM;26;94255;C;843;;71;24;;;0;
4/7/10 9:24:50 AM;26;94256;C;434;;71;2;;;0;
4/7/10 9:24:36 AM;26;94257;C;394;;71;8;;;0;
4/7/10 9:24:13 AM;26;94258;C;792;;71;18;;;0;
4/7/10 9:24:22 AM;26;94259;C;533;;71;8;;;0;
4/7/10 9:16:24 AM;26;94265;C;330;;71;7;;;0;
4/7/10 9:16:11 AM;26;94266;C;881;;71;21;;;0;
4/7/10 9:16:00 AM;26;94267;C;573;;71;8;;;0;
4/7/10 9:15:40 AM;26;94268;C;330;;71;10;;;0;
4/7/10 9:15:48 AM;26;94269;C;494;;71;14;;;0;
4/7/10 9:15:13 AM;26;94270;C;813;;71;17;;;0;
4/7/10 9:15:02 AM;26;94271;C;255;;71;7;;;0;
4/7/10 9:14:54 AM;26;94272;C;495;;71;15;;;0;
4/7/10 9:14:34 AM;26;94273;C;271;;71;4;;;0;
4/7/10 9:14:44 AM;26;94274;C;716;;71;16;;;0;
4/7/10 8:56:39 AM;26;94275;C;1024;;71;21;;;0;
4/7/10 8:56:26 AM;26;94276;C;769;;71;23;;;0;
4/7/10 8:54:27 AM;26;94277;C;474;;71;5;;;0;
4/7/10 8:56:48 AM;26;94278;C;467;;71;10;;;0;
